R"(kielenNimi,suomi,English
valitseKieli,Valitse kieli,Select language
uusiPeli,uusi peli,new game
lataaPeli,lataa peli,load game
valitseLadataankoPeli,Valitse ladataanko peli,Select whether to load game
pelaajaVsKone,pelaaja vs kone,player vs computer
koneVsKone,kone vs kone,computer vs computer
pelaajaVsPelaaja,pelaaja vs pelaaja,player vs player
valitsePelimuoto,Valitse pelimuoto,Select gamemode
valkoinen,valkoinen,white
musta,musta,black
valitseKummallaVarillaPelaat,Valitse kummalla värillä pelaat,Select which color you play
hakusyvyys,hakusyvyys,search depth
valitseKoneenHakusyvyys,Valitse koneen hakusyvyys,Select computer's search depth
valitseValkoisenHakusyvyys,Valitse valkoisen hakusyvyys,Select white's search depth
valitseMustanHakusyvyys,Valitse mustan hakusyvyys,Select black's search depth
siirtopari,siirtopari,fullmove
valkoisenSiirtovuoro,Valkoisen siirtovuoro,White's turn
mustanSiirtovuoro,Mustan siirtovuoro, Black's turn
komennot,Komennot,Commands
siirrot,siirrot,moves
listaaLaillisetSiirrot,listaa lailliset siirrot,list legal moves
tulostaAsemaFEN-merkintana,tulosta asema FEN-merkintänä,print position as FEN-record
syotaSiirto,Syötä siirto,Enter a move
annaFEN,Anna FEN,Enter FEN
koneenSiirto,Koneen siirto,Computer's move
nappula,nappula,piece
ruutu,ruutu,square
sarake,sarake,column
rivi,rivi,row
siirto,siirto,move
lyhytLinnoitus,lyhyt linnoitus,short castling
pitkaLinnoitus,pitkä linnoitus,long castling
vk,k,k
vd,d,q
vt,t,r
vl,l,b
vr,r,n
vs,s,p
mk,k,k
md,d,q
mt,t,r
ml,l,b
mr,r,n
ms,s,p
asetukset,asetukset,settings
tuntematonKomento,Tuntematon komento,Unknown command
paivitaAsetukset,päivitä asetukset,update settings
kumoa,kumoa,undo
historia,historia,history
kumoa2EdellistaSiirtoa,kumoaa 2 edellista siirto,undo 2 previous moves
kumottu,kumottu,undoed
listaaSiirtoHistoria,listaa siirto historia,list move history
valitseSiirronMerkintatapa,Valitse siirron merkintätapa,Select move notation
suositus,Suositus,Suggestion
korotus,korotus,promotion)"
